CountryName,Region,IndicatorName.1,IndicatorName.2,IndicatorName.3,IndicatorName.4,income,gdp,life_expectancy,population
Afghanistan,South Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",149.79109208,1748886595.6,36.678,11173642
Albania,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,66.933,2135479
Algeria,Middle East & North Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",279.80781109,4863487492.7,50.369,14464985
American Samoa,East Asia & Pacific,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , , ,27363
Andorra,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,78619206.085, ,24276
Angola,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,37.047,5890365
Antigua and Barbuda,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,65.897,64177
Argentina,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",1197.1054378,31584210366,66.449,23880561
Armenia,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,70.143,2525068
Aruba,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,69.14,59063
Australia,East Asia & Pacific,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",2693.3082206,41271138985,71.018536585,12507000
Austria,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",1762.5605351,15373005769,69.914634146,7467086
Azerbaijan,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,63.141,5180023
"Bahamas, The",Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,538423153.69,65.943,169377
Bahrain,Middle East & North Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,63.448,212605
Bangladesh,South Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,8992721809.4,47.523,64232482
Barbados,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,65.569,238896
Belarus,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,70.079243902,9040000
Belgium,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",2419.8661765,26849148286,70.97195122,9655549
Belize,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,53233532.934,65.566,122182
Benin,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",106.31754088,333627758.15,42.152,2912340
Bermuda,North America,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,186300000,70.29,55000
Bhutan,South Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,39.635,297316
Bolivia,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,1017003367,45.671,4484004
Bosnia and Herzegovina,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,66.187,3760529
Botswana,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,96245114.461,54.609,627715
Brazil,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total",398.8656517,42327600098,59.154,95113265
British Virgin Islands,Latin America & Caribbean,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , , ,9827
Brunei Darussalam,East Asia & Pacific,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,179080099.31,66.928,129529
Bulgaria,Europe & Central Asia,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,71.256341463,8489574
Burkina Faso,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,458404330.13,39.095,5624600
Burundi,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,242732571.43,43.829,3479074
Cabo Verde,Sub-Saharan Africa,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", , ,53.669,268627
Cambodia,East Asia & Pacific,Adjusted net national income per capita (current US$),GDP (current US$),"Life expectancy at birth, total (years)","Population, total", ,718401157.72,41.566,6996576
